iter	Passed	Remaining
926	4778	376
927	4782	371
928	4786	365
929	4790	360
930	4795	355
931	4799	350
932	4803	344
933	4807	339
934	4812	334
935	4816	329
936	4822	324
937	4827	319
938	4833	313
939	4839	308
940	4844	303
941	4850	298
942	4855	293
943	4860	288
944	4866	283
945	4871	278
946	4875	272
947	4880	267
948	4884	262
949	4889	257
950	4894	252
951	4898	247
952	4903	241
953	4907	236
954	4911	231
955	4916	226
956	4920	221
957	4925	215
958	4929	210
959	4933	205
960	4938	200
961	4944	195
962	4950	190
963	4956	185
964	4961	179
965	4967	174
966	4973	169
967	4978	164
968	4998	159
969	5003	154
970	5008	149
971	5013	144
972	5017	139
973	5021	134
974	5025	128
975	5030	123
976	5036	118
977	5041	113
978	5047	108
979	5052	103
980	5058	97
981	5063	92
982	5068	87
983	5073	82
984	5079	77
985	5084	72
986	5088	67
987	5093	61
988	5097	56
989	5101	51
990	5106	46
991	5110	41
992	5114	36
993	5118	30
994	5123	25
995	5127	20
996	5132	15
997	5136	10
998	5141	5
999	5145	0
